,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
fixed acidity,1.0,0.21900825635100268,0.32443572544730104,-0.1119812810782368,0.29819477170273795,-0.28273542836956794,-0.3290539012952253,0.45890998228044,-0.2527004683162332,0.2995677443825,-0.0954515225611818,-0.07674320790962287
volatile acidity,0.21900825635100268,1.0,-0.37798131705526566,-0.19601117434765505,0.37712427643386637,-0.3525573064134071,-0.41447619465071955,0.2712956478511813,0.261454402742256,0.22598367974107436,-0.03764038583872911,-0.2656994776114803
citric acid,0.32443572544730104,-0.37798131705526566,1.0,0.14245122598675725,0.03899801408985182,0.13312580951823125,0.19524197598145301,0.09615392906417002,-0.3298081911317201,0.0561973001349725,-0.010493492171303737,0.08553171718367827
residual sugar,-0.1119812810782368,-0.19601117434765505,0.14245122598675725,1.0,-0.12894049990326722,0.4028706400566557,0.495481587006645,0.552516950293482,-0.2673198368768104,-0.18592740529018406,-0.3594147708156948,-0.03698048458576987
chlorides,0.29819477170273795,0.37712427643386637,0.03899801408985182,-0.12894049990326722,1.0,-0.19504478520770022,-0.2796304474433376,0.36261465655780684,0.044707979550505476,0.3955933065473311,-0.2569155799734327,-0.20066550043510553
free sulfur dioxide,-0.28273542836956794,-0.3525573064134071,0.13312580951823125,0.4028706400566557,-0.19504478520770022,1.0,0.7209340813785244,0.02571684214466299,-0.14585389640016552,-0.18845724880121598,-0.17983843489306053,0.05546305861663347
total sulfur dioxide,-0.3290539012952253,-0.41447619465071955,0.19524197598145301,0.495481587006645,-0.2796304474433376,0.7209340813785244,1.0,0.03239451234680115,-0.23841310290340778,-0.27572681991620573,-0.26573963910943216,-0.04138545385560974
density,0.45890998228044,0.2712956478511813,0.09615392906417002,0.552516950293482,0.36261465655780684,0.02571684214466299,0.03239451234680115,1.0,0.01168608068717396,0.25947849534575196,-0.6867454216821272,-0.30585790606941676
pH,-0.2527004683162332,0.261454402742256,-0.3298081911317201,-0.2673198368768104,0.044707979550505476,-0.14585389640016552,-0.23841310290340778,0.01168608068717396,1.0,0.19212340657115304,0.12124846709220077,0.019505703714435736
sulphates,0.2995677443825,0.22598367974107436,0.0561973001349725,-0.18592740529018406,0.3955933065473311,-0.18845724880121598,-0.27572681991620573,0.25947849534575196,0.19212340657115304,1.0,-0.003029194942756666,0.03848544587651536
alcohol,-0.0954515225611818,-0.03764038583872911,-0.010493492171303737,-0.3594147708156948,-0.2569155799734327,-0.17983843489306053,-0.26573963910943216,-0.6867454216821272,0.12124846709220077,-0.003029194942756666,1.0,0.44431852000766286
quality,-0.07674320790962287,-0.2656994776114803,0.08553171718367827,-0.03698048458576987,-0.20066550043510553,0.05546305861663347,-0.04138545385560974,-0.30585790606941676,0.019505703714435736,0.03848544587651536,0.44431852000766286,1.0
